Roll Number,Block,Plan,Unit,Civic Address,Street Name,Zoning,Description Code,Description,Assessment Improvement Value,Assessment Land Value,Assessment Other Value,Assessment Year,Assessment Total Value,Poll Division,Poll Division Name,Voting Station,Latitude,Longitude
0312002604,312,C4456,4,117,MOYLE DR,,101,Residential,"344,060.00","78,850.00",0,2015,"422,910.00",2,Weledeh,École St. Patrick High School,62.46686652,-114.3736616
0312002603,312,C4456,3,117,MOYLE DR,,101,Residential,"344,060.00","78,310.00",0,2015,"422,370.00",2,Weledeh,École St. Patrick High School,62.46682353,-114.3737601
0312002602,312,C4456,2,117,MOYLE DR,,101,Residential,"344,060.00","77,800.00",0,2015,"421,860.00",2,Weledeh,École St. Patrick High School,62.46678813,-114.3738386
0312002601,312,C4456,1,117,MOYLE DR,,101,Residential,"337,810.00","78,680.00",0,2015,"416,490.00",2,Weledeh,École St. Patrick High School,62.46674864,-114.3739316
0149002706,149,C4453,1056,43,RYCON DR,,101,Residential,"181,430.00","61,360.00",0,2015,"242,790.00",1,Great Slave,École Sir John Franklin High School,62.44543908,-114.3667484
0149002705,149,C4453,1055,43,RYCON DR,,101,Residential,"177,190.00","61,120.00",0,2015,"238,310.00",1,Great Slave,École Sir John Franklin High School,62.4454131,-114.3668199
0149002704,149,C4453,1054,43,RYCON DR,,101,Residential,"177,190.00","61,080.00",0,2015,"238,270.00",1,Great Slave,École Sir John Franklin High School,62.44538593,-114.3668911
0149002703,149,C4453,1053,43,RYCON DR,,101,Residential,"177,190.00","61,120.00",0,2015,"238,310.00",1,Great Slave,École Sir John Franklin High School,62.44535432,-114.366979
0149002702,149,C4453,1052,43,RYCON DR,,101,Residential,"177,190.00","61,080.00",0,2015,"238,270.00",1,Great Slave,École Sir John Franklin High School,62.44532592,-114.3670482
0149002701,149,C4453,1051,43,RYCON DR,,101,Residential,"177,190.00","61,360.00",0,2015,"238,550.00",1,Great Slave,École Sir John Franklin High School,62.44529748,-114.3671148
0028002615,28,C4451,403,5022,47 ST,,101,Residential,"164,710.00","30,080.00",0,2015,"194,790.00",3,YK Centre,Northern United Place,62.45445909,-114.3662525
0028002614,28,C4451,402,5022,47 ST,,101,Residential,"158,670.00","30,980.00",0,2015,"189,650.00",3,YK Centre,Northern United Place,62.4544098,-114.3661485
0028002613,28,C4451,401,5022,47 ST,,101,Residential,"164,470.00","30,080.00",0,2015,"194,550.00",3,YK Centre,Northern United Place,62.45436534,-114.3660588
0028002612,28,C4451,404,5022,47 ST,,101,Residential,"254,190.00","53,430.00",0,2015,"307,620.00",3,YK Centre,Northern United Place,62.45449542,-114.3660929
0028002611,28,C4451,305,5022,47 ST,,101,Residential,"164,710.00","30,080.00",0,2015,"194,790.00",3,YK Centre,Northern United Place,62.45444625,-114.3662672
0028002610,28,C4451,303,5022,47 ST,,101,Residential,"158,670.00","30,980.00",0,2015,"189,650.00",3,YK Centre,Northern United Place,62.454398,-114.3661582
0028002609,28,C4451,301,5022,47 ST,,101,Residential,"164,470.00","30,080.00",0,2015,"194,550.00",3,YK Centre,Northern United Place,62.4543545,-114.3660586
0028002608,28,C4451,302,5022,47 ST,,101,Residential,"125,260.00","22,000.00",0,2015,"147,260.00",3,YK Centre,Northern United Place,62.45445006,-114.3660465
0028002607,28,C4451,304,5022,47 ST,,101,Residential,"164,710.00","30,080.00",0,2015,"194,790.00",3,YK Centre,Northern United Place,62.45450212,-114.3661761
0028002606,28,C4451,205,5022,47 ST,,101,Residential,"164,710.00","30,080.00",0,2015,"194,790.00",3,YK Centre,Northern United Place,62.45445402,-114.3662862
0028002605,28,C4451,203,5022,47 ST,,101,Residential,"158,670.00","30,980.00",0,2015,"189,650.00",3,YK Centre,Northern United Place,62.4544063,-114.3661747
0028002604,28,C4451,201,5022,47 ST,,101,Residential,"164,470.00","30,080.00",0,2015,"194,550.00",3,YK Centre,Northern United Place,62.45436284,-114.3660775
0028002603,28,C4451,202,5022,47 ST,,101,Residential,"125,260.00","22,000.00",0,2015,"147,260.00",3,YK Centre,Northern United Place,62.45445902,-114.3660678
0028002602,28,C4451,204,5022,47 ST,,101,Residential,"164,710.00","30,080.00",0,2015,"194,790.00",3,YK Centre,Northern United Place,62.45450932,-114.3661951
0028002601,28,C4451,101,5022,47 ST,,101,Residential,"106,910.00","17,960.00",0,2015,"124,870.00",3,YK Centre,Northern United Place,62.45452914,-114.3661577
0039001106,69,C4566,300,5122,52 ST,,101,Residential,"130,520.00","36,020.00",0,2015,"166,540.00",3,YK Centre,Northern United Place,62.45095777,-114.3681197
0039001105,39,C4566,301,5122,52 ST,,101,Residential,"130,390.00","35,870.00",0,2015,"166,260.00",3,YK Centre,Northern United Place,62.45098186,-114.3681761
0039001104,39,C4566,200,5122,52 ST,,101,Residential,"130,520.00","36,020.00",0,2015,"166,540.00",3,YK Centre,Northern United Place,62.45095777,-114.3681197
0039001103,39,C4566,201,5122,52 ST,,101,Residential,"130,080.00","35,870.00",0,2015,"165,950.00",3,YK Centre,Northern United Place,62.45098186,-114.3681761
0039001102,39,C4566,100,5122,52 ST,,101,Residential,"130,520.00","30,690.00",0,2015,"161,210.00",3,YK Centre,Northern United Place,62.45095777,-114.3681197
0039001101,39,C4566,101,5122,52 ST,,101,Residential,"130,080.00","35,870.00",0,2015,"165,950.00",3,YK Centre,Northern United Place,62.45098186,-114.3681761
0045000401,45,C3200,1,5215,51 ST,,101,Residential,"43,500.00","43,800.00",0,2015,"87,300.00",1,Great Slave,École Sir John Franklin High School,62.45043987,-114.3657679
0510002606,510,C4438,101,627,WILLIAMS AVE,,101,Residential,"151,770.00","63,190.00",0,2015,"214,960.00",6,Kam Lake,Multiplex Arena,62.44094127,-114.4083656
0510002608,510,C4438,201,627,WILLIAMS AVE,,101,Residential,"125,390.00","63,190.00",0,2015,"188,580.00",6,Kam Lake,Multiplex Arena,62.44096012,-114.4082632
0510002605,510,C4438,100,627,WILLIAMS AVE,,101,Residential,"151,770.00","63,190.00",0,2015,"214,960.00",6,Kam Lake,Multiplex Arena,62.44098617,-114.4084084
0510002607,510,C4438,200,627,WILLIAMS AVE,,101,Residential,"125,390.00","63,190.00",0,2015,"188,580.00",6,Kam Lake,Multiplex Arena,62.44100927,-114.4083019
0510002602,510,C4438,101,625,WILLIAMS AVE,,101,Residential,"151,770.00","63,190.00",0,2015,"214,960.00",6,Kam Lake,Multiplex Arena,62.44074531,-114.4081063
0510002604,510,C4438,201,625,WILLIAMS AVE,,101,Residential,"125,390.00","63,190.00",0,2015,"188,580.00",6,Kam Lake,Multiplex Arena,62.4407022,-114.4080671
